,img_asset_id,aud_asset_id,samplerate,channels,label,split
0,29323590,212706211,22050,1,0,train
1,17909924,86182361,22050,1,0,train
2,32744019,180204691,22050,1,0,train
3,48312733,40450901,22050,1,0,train
4,22377467,91906351,22050,1,0,train
5,33561973,79548081,22050,1,0,train
6,33326225,121747241,22050,1,0,train
7,3507409,239846951,22050,1,0,train
8,1446096,60429221,22050,1,0,train
9,35913293,28980361,22050,1,0,train
10,9102524,55046651,22050,1,0,train
11,39077562,151285271,22050,1,0,train
12,5098710,172758,22050,1,0,train
13,45655563,292755661,22050,1,0,train
14,36740785,45516191,22050,1,0,train
15,49056226,181704381,22050,1,0,train
16,36304367,66184751,22050,1,0,train
17,15039946,29070711,22050,1,0,train
18,38988304,84919461,22050,1,0,train
19,1403155,296581761,22050,1,0,train
20,36017959,53870221,22050,1,0,train
21,42104575,321048961,22050,1,0,train
22,39209776,26918071,22050,1,0,train
23,31101329,156681451,22050,1,0,train
24,31015920,124730851,22050,1,0,train
25,28803805,56913821,22050,1,0,train
26,17042061,176224271,22050,1,0,train
27,68456328,26131481,22050,1,0,train
28,31487489,321874791,22050,1,0,train
29,14957505,313602231,22050,1,0,train
30,39902094,257120311,22050,1,0,train
31,1370957,207129,22050,1,0,train
32,14180548,132095451,22050,1,0,train
33,3937925,212706211,22050,1,0,train
34,46448762,86182361,22050,1,0,train
35,2765104,180204691,22050,1,0,train
36,33308813,40450901,22050,1,0,train
37,25214579,91906351,22050,1,0,train
38,4895668,79548081,22050,1,0,train
39,60442255,121747241,22050,1,0,train
40,43267771,239846951,22050,1,0,train
41,1893815,60429221,22050,1,0,train
42,5725499,28980361,22050,1,0,train
43,60919744,55046651,22050,1,0,train
44,51249333,151285271,22050,1,0,train
45,35321416,172758,22050,1,0,train
46,17282371,292755661,22050,1,0,train
47,36137521,45516191,22050,1,0,train
48,34035736,181704381,22050,1,0,train
49,7008365,66184751,22050,1,0,train
50,38361556,29070711,22050,1,0,train
51,37959649,84919461,22050,1,0,train
52,37087473,296581761,22050,1,0,train
53,84646541,53870221,22050,1,0,train
54,5378709,321048961,22050,1,0,train
55,41245137,26918071,22050,1,0,train
56,14978650,156681451,22050,1,0,train
57,41378467,124730851,22050,1,0,train
58,38258451,56913821,22050,1,0,train
59,5661614,176224271,22050,1,0,train
60,2320247,26131481,22050,1,0,train
61,28025012,321874791,22050,1,0,train
62,14172456,313602231,22050,1,0,train
63,56373794,257120311,22050,1,0,train
64,91445939,207129,22050,1,0,train
65,14996533,132095451,22050,1,0,train
66,32746426,212706211,22050,1,0,train
67,61348216,86182361,22050,1,0,train
68,51053103,180204691,22050,1,0,train
69,14238115,40450901,22050,1,0,train
70,245309,91906351,22050,1,0,train
71,33437411,79548081,22050,1,0,train
72,12696484,121747241,22050,1,0,train
73,33485360,239846951,22050,1,0,train
74,4425879,60429221,22050,1,0,train
75,3443181,28980361,22050,1,0,train
76,37389529,55046651,22050,1,0,train
77,42188803,151285271,22050,1,0,train
78,2127236,172758,22050,1,0,train
79,37770850,292755661,22050,1,0,train
80,18083858,45516191,22050,1,0,train
81,36402784,181704381,22050,1,0,train
82,65527470,66184751,22050,1,0,train
83,16588395,29070711,22050,1,0,train
84,15005436,84919461,22050,1,0,train
85,33745727,296581761,22050,1,0,train
86,96829392,53870221,22050,1,0,train
87,7635281,321048961,22050,1,0,train
88,277117,26918071,22050,1,0,train
89,6214253,156681451,22050,1,0,train
90,26698790,124730851,22050,1,0,train
91,32343668,56913821,22050,1,0,train
92,3618134,176224271,22050,1,0,train
93,2962984,26131481,22050,1,0,train
94,34674112,321874791,22050,1,0,train
95,32380992,313602231,22050,1,0,train
96,16678458,257120311,22050,1,0,train
97,29239958,207129,22050,1,0,train
98,857699,132095451,22050,1,0,train
99,6888315,212706211,22050,1,0,train
100,26264893,86182361,22050,1,0,train
101,37143679,180204691,22050,1,0,train
102,26401441,40450901,22050,1,0,train
103,34852953,91906351,22050,1,0,train
104,11686021,79548081,22050,1,0,train
105,45631328,121747241,22050,1,0,train
106,14419440,239846951,22050,1,0,train
107,14563231,60429221,22050,1,0,train
108,45846312,28980361,22050,1,0,train
109,49749433,55046651,22050,1,0,train
110,38828776,151285271,22050,1,0,train
111,33103193,172758,22050,1,0,train
112,35832265,292755661,22050,1,0,train
113,5374246,45516191,22050,1,0,train
114,33850220,181704381,22050,1,0,train
115,1877632,66184751,22050,1,0,train
116,17353066,29070711,22050,1,0,train
117,37394561,84919461,22050,1,0,train
118,17896011,296581761,22050,1,0,train
119,1926701,53870221,22050,1,0,train
120,18924409,321048961,22050,1,0,train
121,32837503,26918071,22050,1,0,train
122,202191,156681451,22050,1,0,train
123,42240733,124730851,22050,1,0,train
124,22850379,56913821,22050,1,0,train
125,43377894,176224271,22050,1,0,train
126,5220391,26131481,22050,1,0,train
127,13925035,321874791,22050,1,0,train
128,263033,313602231,22050,1,0,train
129,34226561,257120311,22050,1,0,train
130,32589487,207129,22050,1,0,train
131,38282697,132095451,22050,1,0,train
132,36688728,212706211,22050,1,0,train
133,46497690,86182361,22050,1,0,train
134,35513132,180204691,22050,1,0,train
135,13332268,40450901,22050,1,0,train
136,14774042,91906351,22050,1,0,train
137,19928608,79548081,22050,1,0,train
138,1672291,121747241,22050,1,0,train
139,20191018,239846951,22050,1,0,train
140,46422929,60429221,22050,1,0,train
141,63436888,28980361,22050,1,0,train
142,33395178,55046651,22050,1,0,train
143,32818930,151285271,22050,1,0,train
144,1758929,172758,22050,1,0,train
145,37683359,292755661,22050,1,0,train
146,3089687,45516191,22050,1,0,train
147,1590667,181704381,22050,1,0,train
148,35134827,66184751,22050,1,0,train
149,21091080,29070711,22050,1,0,train
150,12887489,84919461,22050,1,0,train
151,21971404,296581761,22050,1,0,train
152,48482230,53870221,22050,1,0,train
153,13812192,321048961,22050,1,0,train
154,48047597,26918071,22050,1,0,train
155,17916125,156681451,22050,1,0,train
156,4213569,124730851,22050,1,0,train
157,50770925,56913821,22050,1,0,train
158,36557202,176224271,22050,1,0,train
159,56731501,26131481,22050,1,0,train
160,41680632,321874791,22050,1,0,train
161,11965831,313602231,22050,1,0,train
162,14447706,257120311,22050,1,0,train
163,94322399,207129,22050,1,0,train
164,51313006,132095451,22050,1,0,train
165,10505795,212706211,22050,1,0,train
166,32264672,86182361,22050,1,0,train
167,28201614,180204691,22050,1,0,train
168,65279101,40450901,22050,1,0,train
169,26946646,91906351,22050,1,0,train
170,36999439,79548081,22050,1,0,train
171,30823042,121747241,22050,1,0,train
172,13665467,239846951,22050,1,0,train
173,31986884,60429221,22050,1,0,train
174,6223420,28980361,22050,1,0,train
175,31773060,55046651,22050,1,0,train
176,14463366,151285271,22050,1,0,train
177,58275394,172758,22050,1,0,train
178,11655081,292755661,22050,1,0,train
179,22844253,45516191,22050,1,0,train
180,61312346,181704381,22050,1,0,train
181,50159736,66184751,22050,1,0,train
182,769806,29070711,22050,1,0,train
183,34877770,84919461,22050,1,0,train
184,17318885,296581761,22050,1,0,train
185,38371300,53870221,22050,1,0,train
186,38567113,321048961,22050,1,0,train
187,37780649,26918071,22050,1,0,train
188,32517124,156681451,22050,1,0,train
189,31196715,124730851,22050,1,0,train
190,46400193,56913821,22050,1,0,train
191,21827257,176224271,22050,1,0,train
192,14939572,26131481,22050,1,0,train
193,14383582,321874791,22050,1,0,train
194,51431970,313602231,22050,1,0,train
195,29522728,257120311,22050,1,0,train
196,34248345,207129,22050,1,0,train
197,3463233,132095451,22050,1,0,train
198,7059326,212706211,22050,1,0,train
199,46229279,86182361,22050,1,0,train
200,50964919,180204691,22050,1,0,train
201,870834,40450901,22050,1,0,train
202,34998543,91906351,22050,1,0,train
203,10610165,79548081,22050,1,0,train
204,87371923,121747241,22050,1,0,train
205,30729989,239846951,22050,1,0,train
206,42066987,60429221,22050,1,0,train
207,39773027,28980361,22050,1,0,train
208,40310793,55046651,22050,1,0,train
209,43764342,151285271,22050,1,0,train
210,37165555,172758,22050,1,0,train
211,37930167,292755661,22050,1,0,train
212,35859876,45516191,22050,1,0,train
213,20047283,181704381,22050,1,0,train
214,14296523,66184751,22050,1,0,train
215,43171544,29070711,22050,1,0,train
216,33660134,84919461,22050,1,0,train
217,10671519,296581761,22050,1,0,train
218,3972137,53870221,22050,1,0,train
219,16652443,321048961,22050,1,0,train
220,37735116,26918071,22050,1,0,train
221,36217875,156681451,22050,1,0,train
222,33674286,124730851,22050,1,0,train
223,8506308,56913821,22050,1,0,train
224,51348958,176224271,22050,1,0,train
225,34853033,26131481,22050,1,0,train
226,3024621,321874791,22050,1,0,train
227,32730560,313602231,22050,1,0,train
228,50274133,257120311,22050,1,0,train
229,21790003,207129,22050,1,0,train
230,34431528,132095451,22050,1,0,train
231,33616065,212706211,22050,1,0,train
232,53381788,86182361,22050,1,0,train
233,43335178,180204691,22050,1,0,train
234,41445115,40450901,22050,1,0,train
235,17255064,91906351,22050,1,0,train
236,37145220,79548081,22050,1,0,train
237,9315408,121747241,22050,1,0,train
